,Title,Source,Description,Keywords
32,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422135_001_l.jpg,Woodblock print. Bijinga. Two young women on a veranda with small boy teasing the goldfish in a large bowl. Nishiki-e on paper.,fish;child;bijin
33,print,https://research.britishmuseum.org/collectionimages/AN00274/AN00274619_001_l.jpg,"Woodblock. Bijinga. O-Sen, the famous beauty of Kagiya tea-house, with poem. Nishiki-e on paper.",tea-house;literature;bijin
34,print,https://research.britishmuseum.org/collectionimages/AN00423/AN00423005_001_l.jpg,"Woodblock print.Lovers parting sorrowfully, as the first bird of the new day flies by, with poem. Nishiki-e on paper.",literature;bird
35,print,https://research.britishmuseum.org/collectionimages/AN00423/AN00423002_001_l.jpg,Woodblock print. Bijinga. Three girls seated on the floor by an open fusuma playing the game of ken and taking refreshments. Nishiki-e on paper.,sport/pastime;child;bijin
36,shunga / painting / handscroll,https://research.britishmuseum.org/collectionimages/AN00776/AN00776110_001_l.jpg,"Painting, handscroll. Scenes of love-making. Ink, colours and gold on paper. With wrapping cloth and paulownia storage box.",eroticism/sex
37,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422311_001_l.jpg,"Woodblock print. Popular culture. Girl with mop standing on stairs, apparently trying to prevent her husband or lover from dressing, he with a letter. Nishiki-e on paper.",architectural feature
38,Ayase no sekisho (Evening Glow at Ayase) / Bokusui hakkei (Eight Views of the River Sumida),https://research.britishmuseum.org/collectionimages/AN00510/AN00510294_001_l.jpg,"Woodblock print. Bijinga. Classical series. Two girls on a veranda enjoying the view, one through a telescope. (According to register, on a balcony). Nishiki-e on paper.",scientific instrument;child;bijin;architectural feature
39,print,https://research.britishmuseum.org/collectionimages/AN00534/AN00534113_001_l.jpg,"Woodblock print. Bijinga. Courtesan seated with a plectrum in her right hand and a samisen just in view on the floor at her side (According to register, Geisha). Nishiki-e on paper.",musical instrument;geisha;bijin
40,Seiro bijin rokkasen ÅEÅEÅEÅE•ºÅEæÅEÅE∫∫ÅEÅE≠ÅEÅE±ÅEªÅE (Six Blossoming Immortals of Yoshiwara),https://research.britishmuseum.org/collectionimages/AN00524/AN00524239_001_l.jpg,Woodblock print.Classical series. Bijinga. Kisegawa of the Matsubaya looking at a handscroll of the 'Ise monogatari'. Nishiki-e on paper.,literature;bijin
41,shunga / print,https://research.britishmuseum.org/collectionimages/AN00583/AN00583022_001_l.jpg,"Colour woodblock print, shunga. Lovers in bed quilts in front of a screen decorated with a Chinese landscape.",courtesan/prostitute;landscape;eroticism/sex;brothel/brothel-keeper
42,shunga / print,https://research.britishmuseum.org/collectionimages/AN00583/AN00583023_001_l.jpg,"Colour woodblock print, shunga. Lovers and child in an interior.",eroticism/sex;child
43,Otome / Maiden,https://research.britishmuseum.org/collectionimages/AN00311/AN00311013_001_l.jpg,Etching. Four cubes with images from Ukiyo-e prints on their surfaces. Annotations. 29/60,
44,Ukiyo no hana (Flowers of the Floating World),https://research.britishmuseum.org/collectionimages/AN00434/AN00434443_001_l.jpg,Woodblock print. Girl preparing to paint.,child
45,painting,https://research.britishmuseum.org/collectionimages/AN00756/AN00756149_001_l.jpg,Preparatory sketch for a painting. Young samurai reclining across the lap of a courtesan. Ink and colour on paper.,samurai;courtesan/prostitute
46,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00229/AN00229844_001_l.jpg,Hanging scroll. Beauty with kamuro.,courtesan/prostitute;kamuro
47,drawing,https://research.britishmuseum.org/collectionimages/AN00792/AN00792469_001_l.jpg,Sketch. Study of a wave breaking. Ink on paper.,seascape
49,print,https://research.britishmuseum.org/collectionimages/AN00436/AN00436665_001_l.jpg,Woodblock print. Millet and bird.,bird
50,print,https://research.britishmuseum.org/collectionimages/AN00436/AN00436661_001_l.jpg,Woodblock print. Crow and blossom.,bird and flower
51,print,https://research.britishmuseum.org/collectionimages/AN00436/AN00436658_001_l.jpg,Woodblock print. Bird and persimmon.,fruit;bird
52,print,https://research.britishmuseum.org/collectionimages/AN00436/AN00436657_001_l.jpg,Woodblock print. Hawk and hare.,mammal;bird
56,triptych print,https://research.britishmuseum.org/collectionimages/AN00439/AN00439907_001_l.jpg,"Woodblock print, triptych. Horsemen fighting.",warrior;mammal;equestrian
57,triptych print,https://research.britishmuseum.org/collectionimages/AN00439/AN00439888_001_l.jpg,"Woodblock print, triptych. Council of warriors.",warrior
58,print,https://research.britishmuseum.org/collectionimages/AN00423/AN00423097_001_l.jpg,Print. Woman with mushroom basket paddling in stream.,fungus
62,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422974_001_l.jpg,Woodblock print. Popular culture. Lovers embracing behind a screen. Nishiki-e on paper.,
63,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422000_001_l.jpg,Woodblock print. Bijinga. Two girls chatting and smoking in an open room. Nishiki-e on paper.,child;bijin
64,print,https://research.britishmuseum.org/collectionimages/AN00421/AN00421936_001_l.jpg,Woodblock print.Cormorant fishing by night. Nishiki-e on paper.,fisherman/fishing;bird
65,print,https://research.britishmuseum.org/collectionimages/AN00432/AN00432106_001_l.jpg,Woodblock print. Two warriors. Nishiki-e on paper.,warrior
66,print,https://research.britishmuseum.org/collectionimages/AN00431/AN00431958_001_l.jpg,Woodblock print. Courtesan and attendant. Nishiki-e on paper.,courtesan/prostitute
67,print / album,https://research.britishmuseum.org/collectionimages/AN00837/AN00837998_001_l.jpg,"Colour woodblock print, ten sheets mounted in an album.  Cover A",
69,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422265_001_l.jpg,Woodblock print.Hares leaping over waves in the moonlight. Nishiki-e on paper.,moon;mammal
70,print,https://research.britishmuseum.org/collectionimages/AN00510/AN00510671_001_l.jpg,Woodblock print. Popular culture. Lady attending samurai in dressing-room scene. Nishiki-e on paper.,samurai
71,surimono,https://research.britishmuseum.org/collectionimages/AN00612/AN00612250_001_l.jpg,"Woodblock print, Shijo/Ukiyo-e surimono. Hobby horse and tebune (toys). Printed text above records text of a song 'Sumiyoshi tebune'. Printed signature & seal.",toy
72,Ju-damme / Ukiyo Chushingura,https://research.britishmuseum.org/collectionimages/AN00529/AN00529355_001_l.jpg,"Woodblock print.Classical literature. Act X, O-Sono, wife of Gihei, attempting to enter husband's house, with two attendants. Nishiki-e on paper.",attendant;literature;domestic building
73,Maboroshi rakugan / Ukiyo Genji hakkei,https://research.britishmuseum.org/collectionimages/AN00524/AN00524266_001_l.jpg,"Woodblock print. Popular culture. Classical literature. Two girls reading poems written on tanzaku with, inset, geese over marshland. Nishiki-e on paper.",poetry;literature;landscape;bird
74,Hashihime sekisho / Ukiyo Genji hakkei,https://research.britishmuseum.org/collectionimages/AN00524/AN00524263_001_l.jpg,"Woodblock print. Popular culture. Classical literature. Two women looking at handscroll of watery scene with a bridge, with bridge inset above. Nishiki-e on paper.",literature;bridge
75,Uma ([Hour of the] Horse [Noon]) / Ukiyo juni-shi (Twelve Hours of the Floating World),https://research.britishmuseum.org/collectionimages/AN00513/AN00513180_001_l.jpg,"Woodblock print. Popular culture. Uki-e. Horse, two girls at tea-stall smiling at man going to Meguro and horse picture in hair, with clappers. Nishiki-e on paper. According to reg. The twelve hours: noon.",tea production/trade;child;horse/ass
76,Furyu Nanatsume E-awase,https://research.britishmuseum.org/collectionimages/AN00516/AN00516198_001_l.jpg,Woodblock print. Popular culture. Head and shoulders of mother holding a baby with a toy snake in his hand. Nishiki-e on paper.,toy;reptile;child
77,Hagi-dera / Koto Hana Ju-kei,https://research.britishmuseum.org/collectionimages/AN00513/AN00513144_001_l.jpg,"Woodblock print. Bijinga. Rural landscape. The temple of Hagi, two girls admiring lespedeza shrubs. Nishiki-e on paper.",tree/bush;temple;landscape;child;bijin
78,Dai-ichi Yamashiro Shunzei / Ukiyo Mu-Tamagawa,https://research.britishmuseum.org/collectionimages/AN00423/AN00423934_001_l.jpg,"Woodblock print. Popular culture. Young nobleman crossing River Ide on horse, with valet. Poem by Shunzei. Nishiki-e on paper.",servant/domestic worker;equestrian
79,Ushi / Ukiyo Juni-shi,https://research.britishmuseum.org/collectionimages/AN00513/AN00513179_001_l.jpg,Woodblock print. Oharame country girls with bundles of faggots and an ox by a river under maple trees. Nishiki-e on paper.,tool/implement;tree/bush;mammal;child
80,painting,https://research.britishmuseum.org/collectionimages/AN00759/AN00759308_001_l.jpg,"Painting, album leaf. Snow-capped Nikko mountain. Ink and colours on paper.",snow;landscape
81,painting,https://research.britishmuseum.org/collectionimages/AN00759/AN00759304_001_l.jpg,"Painting, album leaf. View of lake beyond mast, with boat. Ink and colours on paper.",landscape;boat/ship
82,painting,https://research.britishmuseum.org/collectionimages/AN00759/AN00759295_001_l.jpg,"Painting, album leaf. Boat by reedy shore. Ink and colours on paper.",seascape;plant;boat/ship
83,painting,https://research.britishmuseum.org/collectionimages/AN00759/AN00759280_001_l.jpg,"Painting, album leaf. Cottages by stream. Ink and colours on paper.",landscape;cottage
84,Chamise no kane no oto (The Bell Sounding at the Teahouse) / Ukiyo hakkei (Eight Views of the Floating World),https://research.britishmuseum.org/collectionimages/AN00638/AN00638488_001_l.jpg,Woodblock print. Young man with towel and spittoon in hands crouching by girl with hairpin. Nishiki-e on paper.,vessel;child
85,Ueno - Sentaku (Ueno - Laundry) / Ukiyo meijo zue (Landscapes and Various Women of Today),https://research.britishmuseum.org/collectionimages/AN00535/AN00535775_001_l.jpg,"Woodblock print. Girl washing clothing in a tub, with fan-shaped cartouche containing view of Ueno.",bijin
86,Kinryuzan no bosetsu / Furyu Edo hakkei,https://research.britishmuseum.org/collectionimages/AN00422/AN00422018_001_l.jpg,"Woodblock print. Popular culture. Classical series, Townscape. Gentleman and two ladies smoking and playing sugoroku. Poem. Nishiki-e on paper.",sport/pastime;landscape
87,print,https://research.britishmuseum.org/collectionimages/AN00423/AN00423022_001_l.jpg,"Woodblock print. Popular culture. Young gentleman + lady in traditional court dress by bell-shaped open window,Ono no Komachi and Ariwara no Narihira. Nishiki-e on paper.",royal/imperial
88,Uchu no gan,https://research.britishmuseum.org/collectionimages/AN00421/AN00421993_001_l.jpg,Woodblock print. Bijinga. Courtesan with her kamuro on a veranda gazing at geese flying across the night sky.Poem. Nishiki-e on paper.,courtesan/prostitute;bird;bijin;kamuro
89,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422190_001_l.jpg,"Woodblock print. Popular culture. Mother and child in open room in early summer, she pulling mosquito-net, he the bottom of her yukata. Nishiki-e on paper.",seasons;child
90,print,https://research.britishmuseum.org/collectionimages/AN00440/AN00440423_001_l.jpg,Woodblock print. Boys wrestling in front of pergola with wisteria and poem. Nishiki-e on paper.,wrestling/wrestler;plant;literature;garden architecture;child
91,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422171_001_l.jpg,Woodblock print. Kachoga. Two pheasants and peach-blossom beside a stream. Nishiki-e on paper.,peach blossom;fruit;bird
92,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422158_001_l.jpg,"Woodblock print. Popular culture. Bijinga. New Year offering, a small girl holding out figure of white rabbit on tray to woman in snowy garden. Nishiki-e on paper.",snow;mammal;garden;child;bijin
93,print,https://research.britishmuseum.org/collectionimages/AN00440/AN00440426_001_l.jpg,"Woodblock print.History, myth and legend. The famous fight on Gojo bridge between Ushiwaka and Benkei. Nishiki-e on paper.",myth/legend;history;bridge
94,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00229/AN00229241_001_l.jpg,Hanging scroll. Geisha. Ink and colours and gold on silk.,geisha
95,Ueno Kiyomizu-zaka / Toto Meisho Saka-zukushi no uchi,https://research.britishmuseum.org/collectionimages/AN00518/AN00518045_001_l.jpg,"Woodblock print. Rural landscape. Kiyomizu hill,Ueno. Nishiki-e on paper.",landscape
96,Shimosai Konodai / Kanto Meisho Zue,https://research.britishmuseum.org/collectionimages/AN00535/AN00535339_001_l.jpg,"Woodblock print. Rural landscape. View from cliff across estuary with boats. (According to register, at Konodai, Shimosa province). Nishiki-e on paper.",landscape;boat/ship
97,shunga / print,https://research.britishmuseum.org/collectionimages/AN00583/AN00583013_001_l.jpg,"Woodblock print, shunga. No.1 of a set of twelve. Lovers in front of screen with sake set. According to register set of seven erotic prints in black only; one signed Kiyonobu.",vessel;courtesan/prostitute;eroticism/sex
98,shunga / print,https://research.britishmuseum.org/collectionimages/AN00583/AN00583014_001_l.jpg,"Woodblock print, shunga. Lovers and discarded uchikake (over-kimono).",eroticism/sex
99,shunga / print,https://research.britishmuseum.org/collectionimages/AN00583/AN00583015_001_l.jpg,Shunga. Lovers in front of screen drinking sake. Woodblock-printed,vessel;eroticism/sex
100,shunga / print,https://research.britishmuseum.org/collectionimages/AN00583/AN00583017_001_l.jpg,Shunga. Lovers and kamuro. Woodblock-printed,courtesan/prostitute;eroticism/sex;kamuro
101,Shinagawa kihan ÅEÅEÅEÅE∑ÅEÅEµ∑ÅE∏ÅE (Returning Sails at Shinagawa) / Furyu ukiyo hakkei ÅE¢®ÅEµÅEÅEµÆÅE∏ÅEÅEÅE´ÅEÅEØ (Eight Views of the Elegant Floating World),https://research.britishmuseum.org/collectionimages/AN00422/AN00422214_001_l.jpg,Colour woodblock print. Prostitute down coast at Shinagawa in early morning watching returning boats. With poem. Inscribed and signed.,courtesan/prostitute;boat/ship;bijin
102,print,https://research.britishmuseum.org/collectionimages/AN00513/AN00513269_001_l.jpg,"Colour woodblock print with powdered mica ground. Actor Ichikawa Komazo II as Shiga Daishichi in play 'A Medley of Tales of Revenge'; holding sword. Signed, sealed and marked.",kabuki;actor/actress
103,Koi no minakami ÅEÅEÅEÅEÅEÆÅE∞¥ÅEÅEÅEÅEÅEø (The Sources of Love) / Koi ([hashira title]),https://research.britishmuseum.org/collectionimages/AN00776/AN00776100_001_l.jpg,"Illustrated book, one volume (complete), remounted as a folding album. Woodblock-printed, with later hand-colouring. Handwritten preface added by Ota Nampo, 7th month, 1808.",
104,print,https://research.britishmuseum.org/collectionimages/AN00421/AN00421927_001_l.jpg,Woodblock print. Popular culture. The interior of a fukiya-mise (shop). Nishiki-e on paper.,sport/pastime;shop
105,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521335_001_l.jpg,"Woodblock print. Kabuki. Actor Otani Oniji and Ichikawa Omezo,half kneeling as Ukiyo Tsuchihei and th wrestler Ikazuchi Tsuranosuke. Nishiki-e on paper.",wrestling/wrestler;kabuki;actor/actress
106,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422131_001_l.jpg,Colour woodblock print. Eirakuan tea-house at Gion: senior maid carrying warmed sake to client in inner room; junior maid warming sake in corridor. Signed and inscribed.,tea-house
107,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422934_001_l.jpg,"Woodblock print. Popular culture. Young girl helping her shy lover off with his sash, watched through sliding doorway by another woman. Nishiki-e on paper.",interior;eroticism/sex;clock
108,print,https://research.britishmuseum.org/collectionimages/AN00525/AN00525492_001_l.jpg,"Colour woodblock print with powdered black mica ground. Bijinga. Catching fireflies: woman holding firefly cage; boy pursuing insects; iris along stream in background. Signed, marked and sealed.",bijin
109,Atago no shugetsu ÅEÅEÅEÅEÆÅEÅEßÅEÅEÅEÅE (Autumn Moon over Atago) / Edo hakkeiÅEÄÄÅE±ÅEÅEÅE∏ÅEÅE´ÅEÅEØ (Eight Views of Edo),https://research.britishmuseum.org/collectionimages/AN00513/AN00513199_001_l.jpg,"Woodblock print.Classical series. Rural landscape. Autumn moon at Atago with view of temple inset. Nishiki-e on paper. According to register, Edo Hakkei",temple;moon;landscape
110,Ryogoku-bashi no sekisho ÅE∏°ÅEÅEΩÅE©ÅEÅE§ÅEÅEÅEß (Evening Glow at Ryogoku Bridge) / Edo hakkeiÅEÄÄÅE±ÅEÅEÅEΩÅEÅE´ÅEÅEØ,https://research.britishmuseum.org/collectionimages/AN00513/AN00513194_001_l.jpg,"Woodblock print.Classical series. Rural landscape. Evening glow at Ryogoku Bridge,with,inset,view of bridge from below. Nishiki-e on paper. According to register, Edo Hakkei.",landscape
111,Dai-go Mutsu Noin / Ukiyo Mu-Tamagawa,https://research.britishmuseum.org/collectionimages/AN00423/AN00423937_001_l.jpg,Woodblock print. Bijinga. Two girls under umbrella watching plovers of Priest Noin's poem by River Noda. Nishiki-e on paper.,literature;child;bird;bijin
112,Fuzoku Azuma no nishiki ÅE¢®ÅEøÅEÅEÅE±ÅEπÅEÅEÅE¶ (Brocades of the East in Daily Life),https://research.britishmuseum.org/collectionimages/AN00513/AN00513387_001_l.jpg,"Woodblock print. Small boy from a noble family on a visit to a shrine with mother and possibly aunt,+ maid-servant with umbrella. Nishiki-e on paper.",shrine;servant/domestic worker;child
113,Kyu Meguro / Edo Meisho Juni-gatsu,https://research.britishmuseum.org/collectionimages/AN00423/AN00423159_001_l.jpg,"Woodblock print. Popular culture. A girl of the Toshimaya offering tea to a male guest with his page (According to register, ninth month). Nishiki-e on paper.",tea preparation/drinking;servant/domestic worker;child
114,triptych print,https://research.britishmuseum.org/collectionimages/AN00689/AN00689924_001_l.jpg,"Woodblock print, triptych. Popular culture. Music, dance and drama. Seven girls as the Seven Gods of Good Luck in the takarabune (ship of fortune) playing various instruments. Nishiki-e on paper.",theatre/theatrical life;seven gods of good fortune;musical instrument;music;dance;child;boat/ship
115,Fukujin takara awase (A Jeweled Array of Lucky Gods),https://research.britishmuseum.org/collectionimages/AN00521/AN00521357_001_l.jpg,"Woodblock print. Popular culture. Girl with sake-cup with symbols of good fortune, tortoises, fan wtih cups inscribed with Kotobuki fuku (Long-life and good fortune). Nishiki-e on paper.",reptile
116,print,https://research.britishmuseum.org/collectionimages/AN00525/AN00525438_001_l.jpg,Woodblock print.Classical literature. Classical series. The poetess Ono no Komachi seated in long flowing robes of traditional court lady. One of the Six Immortal Poets. Poem. Nishiki-e on paper.,royal/imperial;poet;literature
117,Hasu-no-ike no rakugan / Toto Sakuragi Jikei,https://research.britishmuseum.org/collectionimages/AN00532/AN00532278_001_l.jpg,"Woodblock print. Bijinga. Woman,with inset depiction of wild geese at Hasu-no-ike. Nishiki-e on paper.",bird;bijin
118,print,https://research.britishmuseum.org/collectionimages/AN00422/AN00422078_001_l.jpg,"Woodblock print. Popular culture. Girl offering tea to a young samurai in shrine compound, possibly O-sen of the Kasamori shrine (?). Nishiki-e on paper.",tea preparation/drinking;shrine;samurai
119,Amagoi (Praying for Rain) / Furyu Yatsushi Nana-Komachi (Stylishly Casual Seven Komachis),https://research.britishmuseum.org/collectionimages/AN00440/AN00440421_001_l.jpg,"Woodblock print. Popular culture. Two girls playing with model boat by stream with umbrella, tanzaku and poem. Nishiki-e on paper.",poetry;child;boat/ship;yatsushi
120,Sekidera / Furyu Yatsushi Nana-Komachi (Stylishly Casual Seven Komachis),https://research.britishmuseum.org/collectionimages/AN00420/AN00420970_001_l.jpg,"Woodblock print. Popular culture. Country girl with pail of water, with boy, along river, with flowers and poem. Nishiki-e on paper.",vessel;literature;flower;child;yatsushi
121,Sotoba Komachi / Nana-Komachi,https://research.britishmuseum.org/collectionimages/AN00420/AN00420998_001_l.jpg,"Woodblock print. E-goyomi. Popular culture. Classical literature. Country girl on log with boy stoning cicada in tree,+ hat + cape of Komachi. (According to register, calendar print for 1766). Nishiki-e on paper.",tree/bush;personal accessory;literature;insect;child
122,Yoshiwara Chojiya niwasaki no kemari ÅEÅEÅEÅEÅEÅEÅE∏ÅEÅE≠ÅEÅE±ÅEÅE∫≠ÅEÅEÅEÅEÅEÆÅEπ¥ÅEÅE†,https://research.britishmuseum.org/collectionimages/AN00693/AN00693045_001_l.jpg,"Colour woodblock print, triptych. Courtesans playing kickball (kemari) in the garden of Chojiya in Yoshiwara, others about to set off with their kamuro for their daily parade. Nishiki-e on paper.",sport/pastime;courtesan/prostitute;bijin;kamuro
123,Ukiyo shichifukujin (Seven Gods of Good Fortune of the Floating World),https://research.britishmuseum.org/collectionimages/AN00534/AN00534125_001_l.jpg,"Woodblock print. Popular culture. Mother reading a letter, her little boy playing with a paper crane, with the head of a man inset. Nishiki-e on paper.",child;bird
124,drawing,https://research.britishmuseum.org/collectionimages/AN00759/AN00759028_001_l.jpg,Sketch. Chinese lion-dog under cliff. Ink on paper. Inscribed.,lion dog
125,painting / hanging scroll,https://research.britishmuseum.org/collectionimages/AN00230/AN00230187_001_l.jpg,Hanging-scroll. Courtesan and kamuro (lightning sketch). Ink on paper. Signed and sealed.,courtesan/prostitute
126,Dai Nippon Meisho Kagami,https://research.britishmuseum.org/collectionimages/AN00792/AN00792889_001_l.jpg,Preparatory drawing for a woodblock print. Rokuson`o Tsunemoto killing a deer. From the series (A Mirror of Famous Generals of Japan). Ink on paper. Signed.,mammal
127,The Jewel River of the Lespedeza,https://research.britishmuseum.org/collectionimages/AN00537/AN00537427_001_l.jpg,"Print. Ladies amid the shrubs. Triptych (part of). Published, signed.",
